opportunity_id,opportunity_name,institution_name,program_type,country,region,nationality_eligibility,african_countries_eligible,citizenship_requirements,residency_requirements,age_limit,academic_level,field_of_study,career_stage,minimum_gpa,language_requirements,work_experience_required,work_experience_minimum,award_amount_min,award_amount_max,award_currency,funding_duration_months,funding_type,tuition_coverage,stipend_amount,health_insurance_included,travel_allowance_included,research_budget_included,number_of_awards,application_opens,application_deadline,notification_date,program_start_date,application_fee,application_process,required_documents,selection_criteria,interview_required,acceptance_rate,mentorship_included,networking_opportunities,professional_development,cohort_based,mobility_requirements,teaching_requirements,research_requirements,publication_requirements,renewable,extension_possible,official_website,application_portal,contact_email,contact_phone,last_verified_date,data_source,notes
OP0046,MEXT Japanese Government Scholarship (University Recommendation),Japanese Ministry of Education Culture Sports Science & Technology,Scholarship,Japan,Asia,Open to all,All African countries eligible,Non-Japanese nationals only,Must arrive in Japan for first time in Oct 2026,Under 35 years recommended,Master's OR Doctoral,All fields,Graduate student,Not specified,Japanese language proficiency OR English (program dependent),No,Not applicable,144000,144000,JPY,24 for Master's OR 36 for PhD,Scholarship,Full tuition covered,144000 JPY per month (~1050 USD),Yes,Yes - arrival + return flights,Not specified,Varies by university,January 2026,October 31 2025 (University of Tokyo),April 2026,October 2026,No fee,University nomination then MEXT approval,"Application form, research proposal, academic transcripts, health certificate, recommendation letter (2), language proficiency proof",Academic excellence + research potential + language ability + university endorsement,Yes - by university,10-15%,Yes,Yes,Yes - cultural programs,No,Must study in Japan,May assist with undergraduate teaching,Yes - thesis research required,No,Renewable annually within program duration,Possible with justification,https://www.u-tokyo.ac.jp/en/prospective-students/mext_scholarship.html,https://www.studyinjapan.go.jp/en/,mext-scholarship@u-tokyo.ac.jp,Not specified,2026-02-13,Official University of Tokyo website verified 2026-02-13,JPY 144k/month = ~USD 1050/month; full funding including travel; cultural immersion; Japanese language training available
OP0047,Hong Kong PhD Fellowship Scheme (HKPFS),Research Grants Council Hong Kong,Fellowship,Hong Kong SAR,Asia,Open to all,All African countries eligible,No restrictions - international applicants,Must study at Hong Kong UGC-funded university,None,Doctoral (PhD),All fields,Early-career PhD student,Not specified,English proficiency required (TOEFL/IELTS),No,Not applicable,28400,28400,HKD,48,Fellowship,Full tuition waiver,28400 HKD per month (~3650 USD),Health insurance covered,Yes - 14200 HKD per year conference travel,Not specified,400 awards annually across 8 universities,September 2025,December 1 2025 (noon Hong Kong time),May 2026,September 2026,No fee,Online application via RGC portal then university nomination,"Research proposal, CV, academic transcripts, 2 reference letters, publications (if any)",Academic excellence + research proposal quality + potential impact + innovation,Yes - by university,~5%,Yes,Yes,Yes,Yes - annual cohort,Must study in Hong Kong,No,Yes - full-time doctoral research,Yes - publication expected,Renewable annually for up to 4 years (3 years fellowship + 1 year extra),Fourth year conditional,https://cerg1.ugc.edu.hk/hkpfs/index.html,https://cerg1.ugc.edu.hk/hkpfs/apply.html,hkpfs@ugc.edu.hk,+852-3943-3024,2026-02-13,Official RGC Hong Kong website verified 2026-02-13,HKD 28.4k/month = USD 3650/month; 400 fellowships annually; can apply to 2 programs/universities; 4 years total support
OP0048,China Government Scholarship (Chinese Government Scholarship - University Program),China Scholarship Council (CSC),Scholarship,China,Asia,Open to all (excluding Chinese nationals),All African countries eligible,Non-Chinese nationals,Must study at Chinese institution,Under 40 for PhD OR under 35 for Master's,Master's OR Doctoral,All fields,Graduate student,Not specified,Chinese OR English (program dependent),No,Not applicable,Not specified,3500,CNY,24 for Master's OR 48 for PhD,Scholarship,Full tuition waiver,3000-3500 CNY per month (~420-490 USD),Yes,Yes - international airfare,Varies by program,Thousands of awards annually across 280+ universities,October 2025,February 15 2026,May-June 2026,September 2026,No fee,Online via Study in China portal + university application,"Application form, passport copy, academic transcripts, recommendation letters (2), study plan, health certificate, language proficiency",Academic merit + study plan quality + contribution to China-home country relations,Varies by university,Varies widely by university and program,Yes,Yes,Yes - cultural activities,Yes - cohort by intake,Must study in China,No,Yes - thesis research,No,Renewable annually,Possible with justification,https://us.china-embassy.gov.cn/eng/lxfw/studyinchina/chinesegovernmentscholarship/,http://www.campuschina.org,csc@moe.edu.cn,+86-10-6609-3900,2026-02-13,Official China Scholarship Council website verified 2026-02-13,CNY 3000-3500/month = USD 420-490/month; covers 280+ Chinese universities; comprehensive support; Tsinghua/Peking University included
OP0049,Korean Government Scholarship Program - GKS Graduate,National Institute for International Education (NIIED) South Korea,Scholarship,South Korea,Asia,Open to all (excluding Korean nationals),All African countries eligible,Non-Korean nationals with parents also non-Korean,Must attend Korean university,Under 40 for PhD OR under 35 for Master's,Master's OR Doctoral,All fields,Graduate student,Not specified - but strong academic record required,Korean OR English (1 year Korean language training provided),No,Not applicable,1000000,1500000,KRW,24 for Master's OR 36 for PhD (plus 1 year language),Scholarship,Full tuition covered,1000000-1500000 KRW per month (~750-1130 USD),Yes,Yes - round-trip airfare,Research support for dissertation,850 awards annually (graduate program),September 2026,Varies by embassy (typically Feb-Mar 2026),June-July 2026,September 2026 OR March 2027,No fee,Apply via Korean embassy in home country OR direct to Korean university,"GKS application form, personal statement, study plan, recommendation letters (2), academic transcripts, health certificate, language proficiency",Academic achievement + study plan + Korean studies interest + leadership potential + country diversity,Yes - embassy and university stages,~8%,Yes,Yes,Yes - cultural immersion,Yes - GKS cohort,Must study in South Korea; 1 year Korean language mandatory,No,Yes - thesis research,No,Renewable annually within program duration,Not typically,https://www.studyinkorea.go.kr/en/sub/gks/allnew_invite.do,https://www.studyinkorea.go.kr/,gks@korea.kr,+82-2-3668-1374,2026-02-13,Official NIIED Study in Korea website verified 2026-02-13,KRW 1M-1.5M/month = USD 750-1130/month; 1 year Korean language training; settlement allowance KRW 200k; 850 graduate awards/year
OP0050,Singapore International Graduate Award (SINGA),Agency for Science Technology & Research (A*STAR) - National University of Singapore - Nanyang Technological University,Fellowship,Singapore,Asia,Open to all (priority to top universities),All African countries eligible,No restrictions - international applicants,Must pursue PhD in Singapore,None,Doctoral (PhD),Science/Technology/Engineering/Biomedical Sciences,Graduate student,Strong academic record (typically first class honors or equivalent),English proficiency required,No,Not applicable,24000,30000,SGD,48,Fellowship,Full tuition waiver,24000-30000 SGD per year (~18000-22500 USD),Yes,Yes - one-time airfare allowance,Not specified,200 awards annually,November 2025,January 31 2026,March-April 2026,August 2026,No fee,Online application via SINGA portal,"Application form, CV, academic transcripts, research interest statement, 2 reference letters, publications (if any)",Academic excellence + research potential + alignment with Singapore research priorities,Yes - shortlisted candidates,~12%,Yes,Yes,Yes,Yes - annual cohort,Must study in Singapore (A*STAR/NUS/NTU),No,Yes - full-time PhD research,Yes - publication encouraged,Renewable annually for up to 4 years,Possible with supervisor approval,https://www.a-star.edu.sg/Scholarships/for-graduate-studies/singapore-international-graduate-award-singa,https://www.a-star.edu.sg/singa,singa_enquiry@hq.a-star.edu.sg,+65-6826-6111,2026-02-13,Official A*STAR website verified 2026-02-13,SGD 24-30k/year = USD 18-22.5k/year; 200 awards; collaboration A*STAR/NUS/NTU; top-tier research labs; Singapore tech hub
OP0051,A*STAR Graduate Scholarship (AGS),Agency for Science Technology & Research (A*STAR) Singapore,Scholarship,Singapore,Asia,Singapore citizens OR permanent residents only,Not eligible - Singapore only,Singapore citizen OR Singapore permanent resident,Must pursue PhD at Singapore autonomous university,None,Doctoral (PhD) OR EngD,Science/Technology/Engineering/Biomedical Sciences,Graduate student,Strong academic record,English proficiency,No,Not applicable,4000,4800,SGD,48,Scholarship,Full tuition & fees covered,4000-4800 SGD per month (~3000-3600 USD),Yes,Yes - conference travel support,Yes - research costs covered,Not specified,August 1 2025,February 15 2026,April-May 2026,August 2026,No fee,Online application via A*STAR portal + university admission,"Application form, CV, academic transcripts, research proposal, 2 reference letters, publications",Academic excellence + research proposal + alignment with A*STAR research + Singapore commitment,Yes - two interview rounds,Not specified,Yes,Yes,Yes,Yes,Must study in Singapore and work in Singapore after,No,Yes - PhD/EngD research in A*STAR labs,Yes - publication expected,Renewable annually for up to 4 years,Possible with justification,https://www.a-star.edu.sg/scholarships/home/scholarships/ags--scholarship,https://www.a-star.edu.sg/scholarships,scholarships@hq.a-star.edu.sg,+65-6826-6111,2026-02-13,Official A*STAR website verified 2026-02-13,SGD 4-4.8k/month = USD 3-3.6k/month; bond-free for citizens; 3-year bond for PRs; A*STAR lab research training; Singapore only
OP0052,ADB-Japan Scholarship Program (ADB-JSP),Asian Development Bank - Japanese Government,Scholarship,Multiple countries (27 designated institutions),Asia-Pacific,Citizens of ADB developing member countries,Limited African countries (check ADB list),Must be citizen of ADB borrowing member + Japan ODA eligible country,Must not live/work outside home country; must return home for 2 years after,Under 35 years (waiver possible with Japan endorsement),Master's,Economics OR Business/Management OR Science/Technology OR Development Studies OR Law/Public Policy,Graduate student with 2+ years professional experience,Not specified - but superior academic record required,English proficiency (TOEFL/IELTS),Yes,24 months full-time professional experience after bachelor's,Not specified,60000,USD,Varies by program (typically 12-24 months),Scholarship,Full tuition covered,Monthly subsistence varies by country (~1000-2000 USD/month),Yes,Yes - round-trip travel,Yes - thesis research grant possible,~135 awards annually,Varies by institution,Varies by institution (typically Dec-Mar),Varies by institution,Varies by institution,No fee,Apply directly to designated institution (not to ADB),"ADB-JSP information sheet, application form, academic transcripts, recommendation letters (2), work experience proof, English proficiency, health certificate",Academic merit + professional experience + development potential + return home commitment,Varies by institution,~10%,Yes,Yes,Yes,No - scattered across 27 institutions,Must study at designated institution in Asia-Pacific,No,Yes - master's thesis,No,Non-renewable - one-time award for program duration,Not typically,https://www.adb.org/work-with-us/careers/japan-scholarship-program,https://www.adb.org/work-with-us/careers/japan-scholarship-program/institutions,adbjsp@adb.org,+63-2-8632-6118,2026-02-13,Official ADB website verified 2026-02-13,~135 awards/year; 27 institutions across Asia-Pacific (17 in Japan); must have 2+ years work experience; 2-year home country commitment post-study
OP0053,Australia Awards Scholarships - Africa,Australian Department of Foreign Affairs & Trade (DFAT),Scholarship,Australia,Oceania (serving Africa),Citizens of eligible African countries only,Algeria OR Angola OR Botswana OR Cabo Verde OR Cameroon OR Chad OR Congo DR OR Egypt OR Eritrea OR Ethiopia OR Gambia OR Ghana OR Kenya OR Lesotho OR Liberia OR Madagascar OR Malawi OR Mali OR Mauritania OR Mauritius OR Morocco OR Mozambique OR Namibia OR Niger OR Nigeria OR Rwanda OR Senegal OR Sierra Leone OR Somalia OR South Africa OR South Sudan OR Sudan OR eSwatini OR Tanzania OR Tunisia OR Uganda OR Zambia OR Zimbabwe,Citizen of eligible African country; not dual citizen of developed country,Must return to home country after study,None,Master's,All fields (priority: health/agriculture/education/governance/infrastructure),Mid-career professional,Not specified - but strong academic record required,English proficiency (IELTS/TOEFL/PTE),Yes,Minimum 2 years relevant work experience required,24 months,Not specified,Not specified,AUD,Varies by program (typically 12-24 months),Scholarship,Full tuition covered,Varies by location (~AUD 3000/month),Yes,Yes - return airfare + pre-departure support,Varies,Varies by country (typically 10-30 per country),April 7 2025,July 31 2025,December 2025,February-March 2026,No fee,Online application via Australia Awards portal,"Application form, academic transcripts, work references, English test, health check, development impact statement",Academic merit + work experience + leadership potential + development impact + gender/disability inclusion,Yes - in-person or virtual,Varies by country (~5-10%),Yes,Yes,Yes - pre-departure + reintegration,Yes - by cohort year,Must study in Australia; must return home for 2 years minimum,No,Yes - thesis research,No,Non-renewable - one-time for program duration,Not typically,https://australiaawardsafrica.org/,https://australiaawardsafrica.org/,info@australiaawardsafrica.org,+27-12-452-2132,2026-02-13,Official Australia Awards Africa website verified 2026-02-13,Covers 39 eligible African countries; full support including pre-departure orientation; return home commitment 2 years; strong development focus
OP0054,KAUST Fellowship,King Abdullah University of Science & Technology,Fellowship,Saudi Arabia,Middle East,Open to all,All African countries eligible,No restrictions - international welcome,Must study at KAUST,None,Master's OR Doctoral,Science/Technology/Engineering,Graduate student,Strong academic record,English proficiency (TOEFL/IELTS),No,Not applicable,40000,40000,USD,24 for Master's OR Varies for PhD,Fellowship,Full tuition waiver,~40000 USD per year stipend,Yes - full medical + dental,Yes,Yes - research funding available,All admitted students receive full funding,Varies by program,Varies (Round 1: Sep 15 2025 OR Round 2: Jan 15 2026),March-April 2026,August-September 2026,No fee,Online application via KAUST portal,"Application form, CV, academic transcripts, 3 recommendation letters, statement of purpose, GRE (optional), English test",Academic excellence + research fit + potential for innovation + GPA typically >3.5/4.0,Varies by program,Varies by program,Yes,Yes,Yes,Yes - by cohort,Must study at KAUST (Saudi Arabia),No,Yes - thesis research,Yes - publication encouraged,Renewable for program duration (2 years MS / 3-5 years PhD),Yes for PhD,https://admissions.kaust.edu.sa/,https://apply.kaust.edu.sa/,admissions@kaust.edu.sa,+966-12-808-0000,2026-02-13,Official KAUST website verified 2026-02-13,All admitted students fully funded; USD 40k/year stipend; world-class facilities; Red Sea location; accommodation + healthcare included
OP0055,Khalifa University Graduate Scholarship (International Students),Khalifa University of Science & Technology,Scholarship,United Arab Emirates,Middle East,Open to all,All African countries eligible,No restrictions - international students,Must study at Khalifa University,None,Master's OR Doctoral,STEM fields (Science/Technology/Engineering/Medicine),Graduate student,Strong academic record (minimum GPA 3.0/4.0),English proficiency (IELTS/TOEFL),No,Not applicable,20000,20000,AED,24 for Master's OR 48 for PhD,Scholarship,75% tuition fee waiver,20000 AED per month (~5450 USD),Yes,Yes - conference support,Yes - research support,Not specified,October 2025,March 2 2026,April-May 2026,September 2026,No fee,Online application via Khalifa University portal,"Application form, CV, academic transcripts, 2 recommendation letters, statement of purpose, research proposal (PhD), English proficiency",Academic excellence + research potential + alignment with university priorities,Yes - shortlisted candidates,Not specified,Yes,Yes,Yes,Yes,Must study at Khalifa University (Abu Dhabi),No,Yes - thesis research,Yes - publication expected,Renewable annually,Possible with justification,https://www.ku.ac.ae/scholarships-postgraduate,https://www.ku.ac.ae/postgraduate-admissions,graduateschool@ku.ac.ae,+971-2-312-3333,2026-02-13,Official Khalifa University website verified 2026-02-13,AED 20k/month = USD 5450/month; 75% tuition waiver; textbooks provided; accommodation + medical insurance; UAE top STEM university
